drawdate,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
2013-08-16,7,11,18,19,43,225000,245,9
2013-08-15,7,24,25,26,42,0,364.5,12.5
2013-08-14,6,16,23,27,42,325000,286,12
2013-08-13,15,18,19,35,37,0,343.5,14
2013-08-12,10,17,27,37,43,0,222,12.5
2013-08-11,1,12,22,34,39,7e+05,251.5,11.5
2013-08-10,1,8,18,41,43,0,303,12.5
2013-08-09,10,12,19,24,37,0,178.5,9
2013-08-08,1,4,17,26,42,0,209.5,12
2013-08-07,5,14,28,38,40,0,305,13.5
2013-08-06,1,3,6,25,41,7e+05,268,11
2013-08-05,8,15,30,33,40,0,264.5,12.5
2013-08-04,11,12,28,31,43,0,344,11.5
2013-08-03,2,15,22,38,39,0,314,13
2013-08-02,6,8,31,33,41,0,473.5,14.5
2013-08-01,2,9,11,29,34,125000,213.5,9
2013-07-31,4,9,17,23,39,125000,170,8
2013-07-30,2,7,11,22,33,5e+05,110.5,7.5
2013-07-29,12,16,19,25,31,0,212.5,9.5
2013-07-28,8,20,28,34,38,0,288,12
2013-07-27,1,15,27,31,42,0,294.5,13.5
2013-07-26,3,10,23,32,33,125000,236.5,9.5
2013-07-25,1,3,7,28,29,1145617,168,9
2013-07-24,13,15,28,32,35,0,277,12
2013-07-23,13,18,20,28,42,0,218.5,11.5
2013-07-22,7,11,24,35,38,0,201.5,10.5
2013-07-21,9,15,25,31,36,0,268.5,11.5
2013-07-20,2,12,21,29,33,0,178,9.5
2013-07-19,7,11,19,34,37,0,199,9
2013-07-18,7,9,19,20,26,125000,176.5,7.5
2013-07-17,17,19,25,31,40,450000,293,11.5
2013-07-16,1,14,24,27,39,0,237.5,11.5
2013-07-15,6,24,25,30,34,0,289,12
2013-07-14,10,11,23,30,41,0,250.5,11
2013-07-13,7,19,21,27,30,225000,175,7.5
2013-07-12,20,26,32,33,39,0,367.5,14
